,_id,title,category, post_type,cate
0,5d62abaa65218653a132c956,hello there,Plant Biotechnology,blog,000000001
1,5d6d39567fa40e1417a4931c,Ml and AI,Artificial Intelligence|Machine Learning|Information Technology,blog,000000010
2,5d7d23315720533e15c3b1ee,What is an Operating System ?,Operating Systems,blog,000000011
3,5d7d405e5720533e15c3b1f3,Lord Shiva,Drawings,artwork,000000100
4,5d80dfbc6c53455f896e600e,How Competition law evolved?,Competition Laws,blog,000000101
5,5d80e7c16c53455f896e6014,Raghavan Committee - 2002.,Competition Laws,blog,000000101
6,5d80ecfd6c53455f896e601a,Let's discuss some Case laws!,Competition Laws,blog,000000101
7,5d81323a6c53455f896e6044,Forms of Cartel.,Competition Laws,blog,000000101
8,5d9b3514979d5962253c2f90,Biodiversity,Eco System,blog,000000110
9,5d9b950768671220a1b2b153,Economic policy,Economic Policies,blog,000000111
10,5da745b6019399436815c4cd,Corporate design,Graphic|Graphic Design,artwork,000001000
11,5dada695610ba040fbfdf585,Trident,Drawings,artwork,000000100
12,5dada734610ba040fbfdf588,Lord shiva,Drawings,artwork,000000100
13,5dada798610ba040fbfdf58b,Smart City,Painting,artwork,000001001
14,5dada82f610ba040fbfdf58e,Om Namah Shivaay,Pen and ink,artwork,000001010
15,5dada89b610ba040fbfdf591,Kid Bu,Drawings,artwork,000000100
16,5dadf6ae610ba040fbfdf5c8,MIS,Computer Technology|Information Technology,blog,000001011
17,5db2a7d099cbb90e4339c734,Portrait art,Drawings|Painting,artwork,000001100
18,5db2b91a99cbb90e4339c749,CLASSIFYING FORMS OF CARTELS,Competition Laws,blog,000000101
19,5dbc622a99cbb90e4339c7f6,Best friend,Graphic Design|Visual Arts|Illustration|Graphic,artwork,000001101
20,5dbc631f99cbb90e4339c7fd,Calligraphy,Drawings|Calligraphy,artwork,000001110
21,5dc065ca24b883670268772f,Colours of pushkar.,Photography,artwork,000001111
22,5dd1751db802e41ed198b680,Marital Rape - Rape is Rape,Empowerment,blog,000010000
23,5dde6a91369b28584ecca156,Spirituality,Photography,artwork,000001111
24,5ddeb6e80eb5e25a8a07f065,Library Managment System: Software Requirement Specification (SRS),,project,000010001
